price_per_unit,quality_score,delivery_time_days,on_time_delivery_rate,defect_rate,return_rate,delivery_mode,lead_time_variance,forecast_accuracy,seasonality_index,demand_volatility_index,order_frequency_monthly,avg_order_volume,payment_term_days,offer_validity_days,procurement_action_code,delivery_term_code,items_requested,items_offered,temporal_month,supplier_reliability_score,selected_supplier_flag
465.12,6.67,6,0.74,0.06,0.02,Air,1.01,0.82,1.09,0.94,22,9290.34,60,44,2,1,883,333,12,0.89,0
368.26,4.63,18,0.91,0.03,0.04,Sea,3.97,0.7,0.95,0.06,41,941.41,30,12,3,0,182,528,1,0.9,1
118.64,7.77,22,0.86,0.01,0.03,Sea,4.48,0.64,0.97,0.55,46,759.03,30,7,1,3,983,362,6,0.73,0
309.33,5.78,9,0.74,0,0.03,Air,1.41,0.95,0.92,0.09,20,9060.71,45,43,3,1,10,824,4,0.55,0
323.02,7.1,24,0.7,0,0.03,Air,0.95,0.64,0.86,0.44,3,6724.16,15,10,1,1,477,312,2,0.93,1
240.86,4.86,25,0.94,0,0.04,Sea,0.13,0.61,0.98,0.26,36,6744.07,45,37,0,2,34,219,12,0.87,0
381.4,7.58,29,0.75,0.01,0.01,Road,4.74,0.79,1.16,0.94,33,372.8,15,17,0,2,213,600,7,0.85,0
470.47,8.42,15,0.88,0.02,0.03,Sea,3.42,0.89,1.06,0.01,18,9382.98,60,23,2,2,889,903,7,0.88,1
466.51,2.32,26,0.8,0.02,0.01,Air,4.79,0.78,0.82,0.39,36,7741.07,45,13,0,2,880,876,8,0.45,0
252.88,8.5,8,0.88,0.1,0.03,Road,4.32,0.62,1.12,0.78,10,7666.72,60,58,1,1,210,878,12,0.53,1
100.96,5.86,19,0.79,0.03,0.04,Sea,1.7,0.88,1.17,0.19,36,9128.1,30,41,3,1,914,453,12,0.42,1
493.18,8.6,24,0.73,0.01,0,Road,0.56,0.86,1.13,0.82,21,5823.72,60,8,1,2,947,142,7,0.74,1
427.5,4.88,16,0.77,0.05,0.03,Road,2.5,0.87,1.09,0.86,25,4007.2,90,46,2,2,200,185,1,0.59,1
106.1,4.41,6,0.76,0.09,0.02,Air,0.13,0.68,0.86,0.71,49,4858.72,45,43,0,1,882,96,3,0.07,1
464.38,9.24,29,0.83,0.07,0.01,Sea,0.75,0.92,0.94,0.21,40,7794.68,15,43,0,3,418,770,1,0.14,0
441.45,3.26,6,0.9,0.03,0.02,Air,1.17,0.79,1.03,0.27,9,7710.43,60,16,3,0,487,467,2,0.19,1
283.48,8.6,22,0.78,0.06,0.01,Sea,3.33,0.81,0.83,0.17,48,6134.91,45,18,2,2,313,226,1,0.67,1
316.07,5.36,3,0.7,0.07,0.02,Sea,2.55,0.82,0.84,0.18,27,2259,15,23,2,0,960,415,12,0.11,0
229.55,5.63,10,0.86,0.07,0.02,Road,1.51,0.71,1.17,0.04,15,8206.95,45,52,0,3,753,872,9,0.54,0
74.64,3.78,1,0.88,0.07,0.04,Road,2.82,0.7,1.08,0.86,32,6507.69,45,32,2,3,741,416,7,0.84,0
200.84,6.16,28,0.99,0.09,0.04,Road,0.63,0.6,0.91,0.53,48,2290.49,90,11,1,3,587,613,9,0.95,1
411.28,3.93,14,0.88,0.09,0.03,Air,3.78,0.76,0.93,0.33,44,4858.38,60,11,2,1,994,438,8,0.43,1
52.08,1.35,4,0.84,0.06,0,Road,3.56,0.79,0.95,0.29,39,9972.34,90,44,1,0,987,728,10,0.53,1
200.07,3.45,26,0.87,0.04,0.05,Air,1.08,0.9,0.83,0.54,16,3350.96,30,53,1,3,545,241,2,0.83,0
229.18,1.06,12,0.98,0.06,0.03,Road,3.03,0.63,1.1,0.33,28,1253.95,45,33,1,2,91,829,1,0.94,1
291.83,9.81,6,0.95,0.08,0,Air,2.52,0.97,0.87,0.86,6,314.51,60,11,0,3,612,720,5,0.39,0
463.94,9.69,11,0.8,0,0.04,Sea,0.3,0.71,1.12,0.21,6,1927.86,30,14,1,2,693,439,7,0.35,0
205.86,4.56,12,0.77,0.1,0.01,Air,1.39,0.75,1.14,0.88,38,1950.97,30,37,3,2,961,47,2,0.45,1
206.13,7.56,10,0.78,0.02,0.03,Air,5,0.62,1.06,0.66,47,8594.88,90,39,2,3,556,433,4,0.25,1
381.88,4.11,18,0.85,0.05,0.02,Air,0.5,0.86,1.11,0.96,2,1645.93,30,27,1,2,555,408,7,0.86,0
253.5,7.04,7,0.92,0.09,0.02,Sea,2.53,0.88,0.87,0.02,41,8640.24,15,41,3,2,271,890,9,0.32,1
151.07,8.25,7,0.85,0.02,0.04,Air,4.25,0.97,1.03,0.06,40,958.49,15,27,0,1,186,974,6,0.45,1
253.6,9.52,11,0.72,0.05,0.02,Sea,1.5,0.73,1.07,0.5,7,9075.78,15,57,0,0,665,917,7,0.32,0
113.39,4.6,4,0.92,0.01,0,Road,1.3,0.7,1.06,0.91,27,2637.9,30,21,0,1,224,598,8,0.12,0
129.37,8.05,20,0.94,0.04,0.05,Road,4.45,0.89,0.85,0.73,28,6153.83,45,42,0,1,997,588,12,0.61,1
274.27,3.39,1,0.79,0.02,0.05,Sea,1.52,0.88,0.94,0.62,16,1681.3,60,8,2,1,150,194,12,0.59,1
238.52,9.91,13,0.9,0.04,0.03,Air,3.26,0.97,0.93,0.03,47,3961.55,15,36,0,0,277,386,8,0.29,0
461.68,1.23,18,0.83,0.04,0.02,Road,3.7,0.68,1.03,0.35,9,949.1,15,34,2,0,148,284,9,0.03,1
213.08,6.43,9,0.97,0.1,0,Air,3.94,0.88,1.11,0.35,15,5837.33,15,23,3,3,56,611,12,0.94,0
311.26,6.94,26,0.95,0.1,0.04,Air,4.97,0.63,1.03,0.54,34,3524.19,90,50,0,1,69,295,10,0.36,0
334.52,7.19,24,0.86,0.01,0,Sea,4.02,0.79,1.1,0.26,20,8536.29,90,26,0,0,570,357,2,0.54,1
55.89,2.08,24,0.91,0.07,0,Road,3.29,0.65,0.84,0.27,14,1899.98,15,46,3,3,573,728,7,0.14,1
348.59,9.45,9,0.97,0.01,0.03,Sea,4.48,0.86,1.15,0.62,11,2871.88,15,35,3,1,70,539,2,0.25,0
130.12,2.63,23,0.85,0,0.01,Sea,4.53,0.84,1.01,0.94,30,1854.82,90,11,2,1,735,765,7,0.44,1
482.48,6.6,29,0.79,0.01,0,Sea,4.87,0.62,0.81,0.66,3,5681.85,60,31,1,2,104,840,11,0.56,0
116.9,3,9,0.93,0.1,0.02,Sea,3.88,0.73,1.06,0.67,2,1206.3,45,16,2,0,641,16,9,0.85,0
236.58,3.76,10,0.77,0.09,0.01,Air,0.97,0.76,1.01,0.99,14,1974.63,60,25,1,2,484,197,4,0.29,0
88.41,5.92,28,0.82,0.02,0.01,Road,3.55,0.7,0.89,0.15,29,6817.05,45,47,2,1,740,983,12,0.87,1
498.59,4.75,2,0.96,0.02,0,Road,0.38,0.62,1.11,0.03,5,836.7,30,54,1,1,49,609,5,0.46,0
275.99,2.44,6,0.92,0.02,0.01,Road,1.59,0.73,1.17,0.75,44,7457.32,30,7,0,1,355,125,5,0.43,1
317.92,2.54,15,0.82,0.05,0.04,Air,0.58,0.92,0.93,0.44,46,1132.9,60,53,1,3,336,508,12,0.4,0
80.18,4.76,3,0.76,0.06,0.04,Air,4.75,0.74,1,0.43,6,5896.34,90,40,3,2,980,72,2,0.89,0
387.48,7.82,11,0.81,0.02,0.02,Sea,1.69,0.73,0.85,0.23,8,9978.31,15,20,3,2,446,450,3,0.25,0
144.46,9.08,6,0.79,0.08,0.03,Sea,3.57,0.98,1.17,0.51,39,1821.54,30,31,1,1,838,353,10,0.86,1
454.12,1.76,3,0.75,0.03,0,Sea,2.86,0.62,0.93,0.44,39,2684.75,90,32,0,2,415,596,1,0.09,1
142.31,4.54,24,0.92,0.09,0,Sea,0.54,0.91,0.88,0.35,44,8994.42,90,27,0,1,753,388,3,0.96,1
135.81,1.9,11,0.78,0.07,0.01,Road,2.81,0.79,0.99,0.44,29,6300.24,45,22,1,1,220,304,5,0.5,1
66.45,1.15,15,0.84,0.04,0.03,Sea,3.31,0.98,0.82,0.38,39,4976.06,30,16,1,2,47,692,9,1,1
262.43,6.96,13,0.82,0.08,0.04,Air,4.41,0.76,0.9,0.94,44,5670.78,60,38,3,0,477,241,1,0.61,1
304.18,6.42,20,0.99,0.08,0.03,Air,0.35,0.88,0.83,0.98,27,3025.4,90,50,3,1,326,449,6,0.12,1
79.57,2.47,28,0.82,0.03,0.02,Air,1.48,0.63,0.85,0.84,16,8567.69,60,51,2,1,220,403,12,0.06,1
398.99,3.1,10,0.72,0.03,0.01,Sea,3.46,0.97,0.84,0.99,27,7478.16,60,26,0,2,92,769,2,0.19,1
253.98,1.21,6,0.73,0.09,0.04,Road,0.17,0.74,1.15,0.27,39,6460.42,30,15,0,2,365,884,12,0.42,1
285.98,8.51,15,0.88,0.02,0.02,Road,1.02,0.81,1.17,0.84,40,9324.25,60,40,0,2,639,746,6,0.75,1
248.34,9.77,25,0.88,0,0.04,Sea,1.09,0.66,0.99,0.41,1,5823.3,60,37,2,1,824,285,10,0,0
230.34,2.22,18,0.83,0.05,0.03,Sea,3.35,0.98,1.05,0.75,45,5167.58,15,25,2,0,548,883,6,0.26,0
301.84,3.08,18,0.83,0.08,0.04,Air,1.43,0.87,1.08,0.2,33,9759.36,60,53,3,0,218,713,1,0.59,1
119.86,8.82,7,0.72,0.08,0.05,Air,3,0.62,0.96,0.81,39,2139.54,15,37,3,0,923,176,5,0.3,0
131.87,9.34,15,0.85,0.09,0.05,Road,4.83,0.66,0.95,0.08,27,1505.48,30,36,1,1,646,991,10,0.36,1
437.8,4.78,18,0.85,0.05,0.03,Air,3.97,0.76,1.07,0.27,17,1706.6,60,53,2,2,285,108,2,0.3,0
475.75,1.46,18,0.74,0.01,0.03,Air,1.66,0.69,0.95,0.82,15,9895.48,90,30,2,0,501,892,1,0.95,0
217.99,1.35,20,0.73,0.06,0.01,Sea,2.36,0.72,1.03,0.75,22,6557.29,60,39,2,0,307,421,11,0.07,1
171.84,6.17,9,0.74,0.08,0.05,Road,1,1,1.01,0.5,19,3128.64,15,24,0,0,818,237,9,0.91,0
339.8,4.54,24,0.73,0.01,0.02,Sea,0.08,0.86,1.01,0.67,28,2564.88,90,27,3,1,593,423,6,0.32,0
233.93,1.26,2,0.88,0.02,0.01,Road,1.45,0.97,1.13,0.19,23,660.72,30,37,1,2,67,323,1,0.25,1
61.42,6.25,8,0.76,0,0.02,Sea,1.85,0.77,1.08,0.67,36,1406.28,45,45,2,3,305,335,10,0.88,0
120.27,1.1,20,0.78,0.06,0.01,Road,2.82,0.88,1.18,0.01,49,9090.91,45,48,2,2,468,71,9,0.29,1
372.19,8.09,2,0.75,0.09,0.03,Air,4.72,0.78,1.12,0.83,39,7498.68,15,47,2,2,640,138,12,0.99,1
346.52,3.76,11,0.99,0.07,0.03,Road,4.74,0.73,0.86,0.52,48,9421.44,30,57,0,2,935,771,9,0.55,0
62.19,1.36,26,0.96,0.1,0.02,Road,0.35,0.81,1.1,0.94,49,4294.94,30,49,1,0,405,461,7,0.48,1
149.89,6.3,7,0.77,0.01,0,Sea,3.07,0.77,1.07,0.48,20,6052.25,60,10,1,2,383,418,9,0.98,1
153.98,4.58,6,0.8,0.09,0.05,Road,0.21,0.99,1.06,0.43,47,4888.35,45,32,2,0,71,432,1,0.23,1
352.35,9.76,10,0.76,0.08,0.04,Road,3.24,0.8,0.99,0.45,9,8825.72,60,39,1,1,455,660,3,0.91,0
58.87,5.9,5,0.85,0.03,0.04,Road,0.59,0.92,0.82,0.36,23,9914.68,30,50,0,3,96,239,8,0.59,0
96.85,3.48,11,0.71,0.1,0.02,Sea,4.73,0.87,1.18,0.17,45,9334.47,15,39,2,1,847,580,3,0.75,0
409.96,7.38,1,0.9,0.03,0.04,Road,4.32,0.79,1.14,0.84,7,6020.75,15,55,3,1,620,686,8,0.58,0
130.35,3.44,2,0.86,0.09,0.02,Sea,0.11,0.79,0.99,0.39,31,711.84,90,26,3,3,408,521,3,0.62,0
343.74,9.14,24,0.97,0.09,0.01,Air,3.91,0.74,0.86,0.53,11,6213.51,15,47,1,2,133,725,4,0.15,1
157.18,4.37,1,0.75,0.08,0.01,Sea,3.18,0.64,1.13,0.02,40,1060.77,45,14,3,2,997,934,12,0.15,1
94.75,5.95,19,0.94,0.06,0.02,Road,2.48,0.9,0.97,0.06,17,1474.33,90,42,3,0,528,619,12,0.4,0
159.43,1.46,2,0.94,0.01,0.01,Air,3.01,0.97,0.96,0.6,36,1994.31,45,14,2,2,655,347,4,0.35,0
375.02,4.84,21,0.74,0.05,0.05,Road,3.39,0.69,1.07,0.88,26,3698.58,60,37,0,3,292,255,5,0.71,1
435.06,8.49,20,0.82,0.04,0,Sea,4.42,0.97,1.1,0.49,36,5958.69,60,28,2,1,523,658,10,0.72,0
423.6,8.25,29,0.75,0.08,0.02,Air,3.84,0.69,0.83,0.16,18,3402.18,15,48,0,2,911,567,10,0.56,1
228.73,3.02,23,0.78,0.08,0.02,Air,2.88,0.81,1.11,0.12,31,4577.44,90,56,2,0,838,213,11,0.4,0
350.64,3.03,21,0.78,0.09,0.02,Air,4.12,0.74,1.09,0.9,49,568.16,45,53,3,1,681,914,4,0.68,0
142.24,8.36,24,0.87,0,0.03,Road,4.93,0.65,1.04,0.7,35,6235.6,45,25,2,1,166,202,7,0.69,1
181.92,9.37,4,0.82,0.08,0.01,Air,1.5,0.62,0.94,0.97,41,6604.61,30,26,1,0,235,848,11,0.81,0
453.35,1.86,12,0.98,0.09,0.04,Air,0.59,0.75,0.87,0.08,28,1083.96,15,29,1,1,842,368,4,0.81,1
55.85,5.05,22,0.74,0.08,0.02,Air,3.66,0.62,0.84,0.9,26,7872.66,60,30,0,0,664,563,11,0.07,1
88.48,4.04,20,0.99,0.01,0.03,Air,4.89,0.64,0.8,0.85,6,6509.85,30,49,0,0,403,683,1,0.37,1
143.55,8.84,18,0.77,0.01,0.04,Sea,0.58,0.66,0.88,0.89,34,4948.32,60,30,0,3,275,745,5,0.42,1
61.94,1.75,1,0.93,0,0.04,Road,2.16,0.6,0.96,0.01,28,5573.31,60,42,1,3,275,263,12,0.85,1
131.65,2.9,1,0.8,0.06,0.04,Road,0.31,0.66,0.9,0.74,44,5080.15,45,15,2,2,558,293,8,0.5,1
312.37,7.77,24,0.74,0.06,0.03,Air,3.88,0.83,0.92,0.55,47,632.55,60,46,3,3,297,227,6,0.49,0
239.64,1.46,14,0.96,0.1,0.02,Sea,4.74,0.93,0.96,0.57,9,7377.98,90,22,0,1,301,621,4,0.55,1
451.7,5.43,4,0.79,0.04,0.03,Air,2.49,0.68,0.92,0.47,29,5166.93,60,33,2,2,329,582,4,0.13,1
417.85,4.98,5,0.9,0.03,0.04,Road,2.05,0.63,1.09,0.74,34,1810.96,90,51,2,2,482,561,1,0.57,0
203.82,4.01,11,0.87,0.06,0.04,Road,4.54,0.89,1,1,12,6839.24,60,43,1,0,408,191,10,0.55,1
166.74,4.55,24,0.84,0.08,0.01,Road,0.67,0.6,0.81,0.71,16,6981.15,30,19,1,3,82,580,1,0.75,0
220.86,5.77,28,0.85,0.09,0.02,Air,4.46,0.89,0.89,0.68,7,2213.61,45,57,3,0,537,983,3,0.63,1
315.63,2.45,23,0.92,0.08,0.04,Air,1.96,0.65,1.08,0.65,31,7985.3,30,8,2,2,882,950,4,0.96,1
170.63,6.15,13,0.73,0.04,0.02,Sea,2.8,0.69,0.92,0.7,33,4619.4,45,18,0,0,92,232,4,0.08,1
330.87,8.25,16,0.9,0.06,0.02,Sea,2.64,0.65,1.17,0.34,7,1888.04,30,47,1,1,183,217,2,0.77,1
234.24,7.84,24,0.97,0.09,0.02,Road,3.08,0.7,1.09,0.32,3,6610.44,15,39,2,1,899,432,11,0.75,0
298.42,2.39,13,0.72,0.05,0.03,Road,4.71,0.92,0.92,0.78,20,6007.6,60,29,1,2,437,179,9,0.27,0
246.26,2.34,24,0.74,0.02,0.05,Sea,4.76,0.65,1.01,0.05,5,1787.02,60,20,2,1,597,148,8,0.7,0
182.51,3.41,22,0.91,0.02,0.02,Road,4.16,1,1.07,0.76,3,8736.25,15,45,1,3,300,212,3,0.66,0
476.8,4.25,26,0.83,0,0.01,Sea,0.96,0.73,0.88,0.81,47,8559.89,15,55,0,2,390,263,11,0.3,0
393.62,4.68,2,0.82,0.07,0.01,Air,1.67,0.97,0.9,0.52,38,8378.82,90,36,3,3,572,175,2,0.72,0
113.05,7.12,16,0.74,0.01,0,Road,2.44,0.68,1,0.91,15,4052.36,30,52,0,1,372,578,1,0.93,0
440.81,1.51,6,0.85,0.02,0.03,Road,4.53,0.68,1.17,0.47,35,8263.77,60,55,1,0,195,644,10,0.31,0
269.34,1.31,14,0.74,0.03,0.03,Sea,2.6,0.83,0.94,0.18,23,8463.47,90,40,1,3,14,405,9,0.98,0
452.55,4.53,1,0.84,0.06,0.01,Air,4.89,0.62,0.96,0.36,33,9965.75,60,15,1,3,943,435,5,0.22,1
409.93,7.27,17,0.93,0.04,0.03,Road,4.92,0.92,0.88,0.91,2,9580.29,15,21,0,1,271,456,8,0.13,0
241.35,2.74,11,0.78,0.07,0.04,Road,2.99,0.78,1.04,0.99,36,3890.19,90,30,1,3,188,515,4,0.08,1
60.11,6.77,19,0.84,0.01,0.01,Sea,4.39,0.88,1.1,0.42,21,2062.22,90,54,0,3,151,146,2,0.21,0
170.9,3.34,3,1,0.01,0.02,Air,5,0.67,0.98,0.17,14,2995.38,90,47,1,0,953,415,5,0.34,1
293.74,8.97,11,0.91,0.05,0.05,Sea,4.25,0.86,1.1,0.29,14,4998.33,30,31,3,2,277,943,8,0.73,0
335.07,9.06,29,0.95,0.03,0.02,Air,3.28,0.84,0.92,0.55,42,8074.03,90,42,3,1,635,978,6,0.07,1
166.05,3.68,5,0.82,0.03,0.04,Air,4.23,0.9,1.08,0.57,11,7257.54,60,38,1,0,479,771,8,0.51,0
112.71,3.07,17,0.93,0.01,0.02,Sea,0.41,0.72,0.9,0.63,4,7898.36,30,53,2,0,701,578,11,0.52,0
425.72,4.7,26,0.71,0.09,0.04,Sea,3.17,0.97,1.11,0.84,47,3861.27,60,27,0,2,891,588,3,0.23,0
492.98,3.16,22,0.74,0.07,0.04,Air,1.08,0.98,1.13,0.71,30,2544.36,90,48,1,2,77,240,5,0.05,1
286.56,7.05,7,0.76,0.01,0.03,Sea,0.58,0.95,1.12,0.26,36,338.88,90,45,0,1,116,253,2,0.23,0
127.26,8.43,10,0.82,0.01,0.04,Road,4.46,0.83,0.89,0.4,20,6299.22,60,12,2,1,580,295,12,0.23,1
172.54,7.06,28,0.95,0.1,0.05,Road,3.2,0.77,1.08,0.84,16,7970.87,45,53,3,1,795,642,11,0.69,1
58.28,8.42,29,0.8,0.07,0.03,Road,1.22,0.62,1.02,0.63,34,8902.49,90,31,0,0,446,931,12,0.23,1
461.43,4.57,11,0.9,0.04,0.01,Road,1.93,0.98,1.19,0.17,45,4814.76,90,8,0,3,40,977,3,0.34,0
102.99,2.41,3,0.91,0.07,0.02,Road,4.87,0.98,0.94,0.33,8,9283.69,30,37,0,2,556,63,7,0.05,1
309.43,7.64,20,0.88,0.08,0.04,Sea,4.31,0.61,1.11,0.79,45,2103.88,60,36,0,1,781,809,1,0.62,1
173.32,4.24,10,0.81,0.08,0.03,Air,0.08,0.74,0.95,0.17,20,5192.34,90,21,0,1,530,799,8,0.47,1
299.38,7.04,27,0.87,0.05,0.01,Sea,4.9,0.95,0.96,0.69,21,2216.3,60,24,3,0,630,401,5,0.34,1
343.14,3.44,10,0.8,0.04,0,Road,1.84,0.63,0.84,0.56,40,1961.95,30,38,0,1,664,886,2,0.7,1
423.38,1.73,14,0.73,0,0.03,Road,3.48,0.68,0.9,0.15,30,9538.54,60,20,0,0,51,587,3,0.68,1
142.89,9.93,12,1,0.09,0.01,Sea,3.56,0.99,0.87,0.69,36,8195.63,60,24,3,3,196,279,4,0.33,1
54.95,2.41,15,0.74,0.06,0.02,Sea,4.56,0.94,0.86,0.14,5,216.82,30,41,1,0,606,398,2,0.71,1
111.6,9.9,10,0.72,0.02,0.04,Air,4.43,0.96,0.8,0.4,21,2758.28,90,58,1,2,873,22,10,0.35,1
455.01,9.8,10,0.96,0.09,0.03,Road,1.41,0.66,1.12,0.31,38,2130.84,60,28,0,0,722,352,5,0.22,0
443.25,8.14,26,0.79,0.09,0,Sea,3.22,0.68,0.99,0.69,23,1556.63,45,20,3,3,889,645,7,0.72,1
318.84,6.93,19,0.9,0.1,0.01,Air,1.97,0.84,1.12,0.78,19,7004.38,90,44,0,3,809,598,9,0.73,1
320.23,6.2,1,0.8,0.09,0.01,Road,2.63,0.8,1.05,0.17,10,5711.69,30,20,1,2,857,348,1,0.87,1
349.27,8.79,24,0.82,0.1,0.01,Road,2.77,0.72,1.13,0.81,27,4593.95,15,40,3,0,310,33,10,0.5,1
128.92,3.6,29,0.78,0.02,0.03,Road,1.98,0.95,1,0.01,35,1976.02,45,28,2,2,270,44,6,0.23,0
461.49,5.21,26,0.8,0.08,0.03,Sea,2.32,0.96,0.84,0.53,13,2848.42,90,22,3,3,499,983,6,0.84,0
238.45,6.57,10,0.82,0.08,0.01,Road,1.04,0.72,1.05,0.52,9,3625.4,30,54,1,0,680,845,1,0.17,0
222.41,4.7,2,0.92,0.02,0,Road,3.04,0.66,1.07,0.62,17,7876.28,45,59,3,1,674,931,2,0.94,1
283.51,4.85,17,0.85,0.01,0.01,Air,3.79,0.66,1.05,0.24,31,9892.98,90,55,2,3,705,595,11,0.31,0
71.13,3.97,24,0.98,0.1,0.05,Sea,2.15,0.79,1.12,0.01,42,1921.37,15,22,3,3,266,495,8,0.02,0
124.83,6.08,7,0.71,0.03,0.02,Air,4.89,0.65,1.09,0.45,44,3481.07,90,22,0,2,838,431,6,0.19,1
382.12,8.66,7,0.85,0.09,0.04,Sea,0.29,0.79,0.97,0.07,45,2874,15,46,0,3,76,299,1,0.41,1
87.26,2.81,20,0.88,0,0.04,Road,2.95,0.78,1.13,0.89,24,536.27,15,44,1,2,734,299,10,0.06,1
321.42,9.41,27,0.98,0,0.03,Air,2.92,0.95,1.08,0.17,42,2270.27,60,24,3,0,229,28,10,0.41,1
160.41,7.2,9,0.71,0.05,0.04,Sea,0.18,0.72,0.85,0.43,19,9025.98,30,29,1,1,332,780,11,0.2,0
225.18,8.41,22,0.87,0.02,0.01,Sea,1.12,0.82,1.02,0.43,49,8444.3,60,52,3,1,947,637,6,0.02,1
179.91,6.01,2,0.96,0.07,0.03,Road,4.53,0.9,1.09,0.55,30,1759.21,15,54,1,2,873,301,10,0.3,1
210.05,8.02,14,0.77,0.06,0.01,Road,2.72,0.84,1.02,0.78,5,3725.01,30,46,3,1,745,781,7,0.23,0
373.57,1.15,17,0.96,0.01,0.04,Air,2.18,0.98,1.18,0.47,8,3176.95,30,24,0,1,615,387,2,0.42,0
183.7,8.37,1,0.71,0.02,0,Air,2.08,0.84,0.84,0.03,37,1562.63,30,52,1,3,68,163,11,0.76,1
304.88,1.36,9,0.92,0.04,0.04,Sea,4.44,0.96,1.09,0.77,47,6259.86,45,55,1,3,187,724,4,0.51,0
264.22,9.01,20,0.98,0.02,0,Air,1.84,0.7,1.13,0.08,36,5617.25,90,28,2,0,470,652,7,0.77,1
348.65,9.93,21,0.9,0.08,0.04,Road,4.3,0.82,1.08,0.64,25,4327.21,15,46,3,3,299,137,11,0.34,1
471.57,3.65,19,0.83,0.04,0.02,Air,1.55,0.82,0.95,0.8,45,8569.43,30,36,0,3,121,442,6,0.01,1
379.66,2.89,4,0.71,0.01,0.03,Air,2.66,1,0.95,0.28,49,6235.14,45,54,0,3,333,786,11,0.92,1
146.72,7.89,28,0.98,0.05,0.02,Sea,0.72,0.68,1.03,0.45,5,2666.81,45,48,0,3,191,823,8,0.31,1
64.03,3.28,8,0.84,0.01,0.02,Road,4.13,0.66,0.96,0.01,33,3799.68,15,48,1,1,475,971,6,0.53,0
168.02,8.79,13,0.71,0.01,0.03,Sea,3.68,0.84,1.15,0.8,22,1586.55,60,59,0,1,233,279,2,0.47,0
317.79,1.93,4,0.91,0.02,0.05,Road,2.65,0.69,0.84,0.7,47,5954.6,45,24,1,1,407,524,1,0.58,0
73.14,2.13,9,0.84,0.09,0,Road,0.13,0.86,1.06,0.23,42,5907.63,15,59,2,3,169,267,5,0.88,0
273.36,9.81,9,0.74,0.09,0.05,Sea,2.41,0.99,0.85,0.39,25,8714.82,45,24,0,1,463,351,11,0.87,0
318.58,7.06,22,0.76,0.08,0.03,Air,1.13,0.98,1.02,0.7,43,8572.59,15,47,2,0,372,511,10,0.98,1
200.41,8.62,18,0.72,0.03,0.04,Sea,2.07,0.69,1.09,0.36,29,8385.73,30,59,3,0,858,998,12,0.53,1
396.91,3.92,12,0.87,0.03,0.02,Air,4.28,0.67,0.87,0.16,45,5534.63,60,7,3,3,785,426,10,0.92,1
97.97,7.09,10,0.89,0.05,0.02,Sea,3.85,0.82,1.08,0.52,30,6555,45,54,2,1,684,109,9,0.48,0
83.81,6.35,11,0.85,0.07,0.04,Sea,1.21,0.83,0.86,0.72,48,7777.87,45,48,3,0,801,403,2,0.04,0
377.68,6.43,7,0.95,0.1,0.02,Air,4.92,0.86,1.05,0.32,30,1007.68,45,21,0,2,12,888,7,0.15,0
272.97,7.14,9,0.96,0.01,0.03,Air,4.52,0.9,1,0.12,44,3075.92,90,11,0,3,602,62,9,0.33,0
359.78,6.18,6,0.88,0,0,Air,2.64,0.84,0.92,0.83,46,1773.99,90,33,1,0,813,437,4,0.73,1
245.67,4.86,19,0.7,0.07,0.01,Sea,2.65,0.64,0.84,0.25,31,5163.53,30,23,2,0,700,687,4,0.08,1
160.88,3.48,16,0.91,0.08,0.03,Air,4.51,0.92,1.09,0.51,34,8392.91,45,47,2,0,369,158,10,0.36,0
418.6,7.92,15,0.83,0.08,0.04,Air,3.18,0.63,0.95,0.69,28,2384.05,60,38,1,2,858,684,5,0.98,0
409.74,3.04,7,0.87,0.07,0.03,Air,2.68,0.61,0.83,0.32,10,7335.94,90,44,0,2,962,460,6,0.79,1
362.61,7.23,16,0.89,0.1,0.01,Road,3.75,0.91,1.11,0.65,4,4117.66,15,32,2,2,324,604,12,0.57,0
172.47,3.1,5,0.81,0.05,0.02,Air,1.18,0.82,0.89,0.46,33,9040.44,15,8,1,0,615,543,7,0.06,1
315.6,6.63,16,0.98,0.09,0.02,Air,4.39,0.88,1.09,0.57,17,6305.22,15,34,2,2,738,541,9,0.01,0
212.44,7.72,1,0.74,0.1,0.02,Air,2.66,0.75,1.03,0.59,11,9767.87,30,51,2,3,31,877,6,0.11,0
91.21,2.97,19,0.9,0.08,0.04,Road,3.02,0.6,0.88,0.82,7,2532.13,45,29,1,2,430,732,3,0.33,0
462.79,1.54,5,0.7,0.03,0.04,Road,0.45,0.73,0.83,0.66,17,9247.19,45,56,2,3,980,375,2,0.61,0
111.57,2.18,7,0.98,0.02,0,Air,1.55,0.84,1.04,0.26,28,3634.85,90,26,3,0,135,333,6,0.2,0
477.61,6.45,19,0.73,0.05,0.04,Air,2.13,0.69,0.81,0.06,17,6257.48,15,42,1,1,789,873,9,0.05,0
250.7,8.65,22,0.73,0.05,0.02,Air,2.07,0.88,0.83,0,41,1827.63,30,48,1,3,414,529,3,0.09,1
133.31,1.4,5,0.8,0.09,0.04,Air,3.89,0.92,1.08,0.9,10,7621.87,60,28,3,3,664,828,4,0.43,1
293.86,7.61,29,0.81,0.01,0.01,Road,1.41,0.78,1.02,0.94,26,9784.68,45,17,2,3,277,675,3,0.77,0
442.83,4.07,17,0.76,0.03,0.03,Air,0.91,0.95,0.93,0.09,6,7895.52,45,34,3,0,863,572,7,0.82,0
